371,416,0,50940,849
999,323,0,50940,849
1043,257,2,50940,849
264,219,2,50940,849
96,185,2,50940,849
1064,360,0,50940,849
1052,492,0,50940,849
663,232,2,50940,849
244,287,0,50940,849
439,371,0,50940,849
186,314,0,50940,849
414,376,0,50940,849
1018,224,2,50940,849
1106,256,2,50940,849
216,302,0,50940,849
1132,347,0,50940,849
422,259,0,50940,849
493,270,13,50940,849
455,314,13,50940,849
1082,492,0,50940,849
255,316,13,50940,849
691,259,0,50940,849
46,177,2,50940,849
1072,550,13,50940,849
525,255,0,50940,849
78,377,56,50940,849
551,254,0,50940,849
449,291,0,50940,849
229,318,13,50940,849
1185,239,2,50940,849
36,210,2,50940,849
794,290,1,50940,849
543,266,0,50940,849
