994,400,0,78540,1309
1012,260,2,78540,1309
97,185,2,78540,1309
161,357,0,78540,1309
177,221,2,78540,1309
42,199,2,78540,1309
963,511,0,78540,1309
790,357,0,78540,1309
573,227,2,78540,1309
1237,263,2,78540,1309
1205,405,0,78540,1309
1018,222,2,78540,1309
1023,372,0,78540,1309
1065,366,0,78540,1309
240,305,0,78540,1309
596,320,0,78540,1309
266,305,0,78540,1309
455,311,0,78540,1309
213,305,0,78540,1309
1128,237,2,78540,1309
1027,326,0,78540,1309
738,324,0,78540,1309
76,375,56,78540,1309
488,316,0,78540,1309
241,318,13,78540,1309
429,316,13,78540,1309
1068,296,0,78540,1309
636,272,0,78540,1309
1184,238,2,78540,1309
492,250,0,78540,1309
410,409,56,78540,1309
