78,202,2,80580,1343
1083,489,0,80580,1343
679,379,0,80580,1343
641,394,0,80580,1343
1160,488,0,80580,1343
1018,222,2,80580,1343
392,328,0,80580,1343
1049,363,0,80580,1343
735,326,0,80580,1343
266,305,0,80580,1343
98,184,2,80580,1343
1187,392,0,80580,1343
584,329,0,80580,1343
457,313,0,80580,1343
217,305,0,80580,1343
1023,346,0,80580,1343
1005,328,0,80580,1343
642,278,0,80580,1343
1129,236,2,80580,1343
413,314,0,80580,1343
75,377,56,80580,1343
1098,275,0,80580,1343
1139,285,0,80580,1343
234,318,13,80580,1343
1185,237,2,80580,1343
754,324,0,80580,1343
521,253,0,80580,1343
1035,310,0,80580,1343
486,310,0,80580,1343
