748,608,0,27780,463
1046,490,0,27780,463
650,581,0,27780,463
816,584,0,27780,463
1018,225,2,27780,463
250,306,0,27780,463
205,309,0,27780,463
56,290,0,27780,463
819,446,0,27780,463
959,403,0,27780,463
1111,269,2,27780,463
933,408,0,27780,463
79,325,0,27780,463
1103,301,0,27780,463
778,327,0,27780,463
401,350,0,27780,463
239,320,13,27780,463
1002,295,0,27780,463
374,410,0,27780,463
1022,303,0,27780,463
1185,238,2,27780,463
600,248,0,27780,463
1156,331,0,27780,463
439,379,0,27780,463
628,626,13,27780,463
500,255,0,27780,463
1049,553,13,27780,463
445,315,13,27780,463
424,413,0,27780,463
52,178,2,27780,463
279,316,13,27780,463
1273,431,0,27780,463
