1047,492,0,56940,949
568,440,0,56940,949
618,452,0,56940,949
207,213,2,56940,949
96,354,0,56940,949
97,185,2,56940,949
1076,259,2,56940,949
1150,274,2,56940,949
234,301,0,56940,949
1018,224,2,56940,949
446,310,0,56940,949
421,359,0,56940,949
432,439,0,56940,949
184,243,0,56940,949
740,320,0,56940,949
273,315,13,56940,949
778,236,2,56940,949
209,305,0,56940,949
1037,301,0,56940,949
184,320,0,56940,949
987,384,0,56940,949
453,320,13,56940,949
43,200,2,56940,949
554,231,2,56940,949
409,412,13,56940,949
500,261,13,56940,949
1072,550,13,56940,949
236,317,13,56940,949
677,294,58,56940,949
